OFF FORM,,ACES,JOKER,JOKER,JOKER,JOKER,JOKER,JOKER,JOKER,KINGS OPEN,KINGS OPEN,KINGS OPEN,KINGS OPEN,KINGS OPEN,KINGS OPEN,MICKEY MOUSE,PRO SOFTER T OVER,PRO WING,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUADS,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD BONE T OVER,SPREAD BONE T OVER,SPREAD BONE T OVER,SPREAD BONE T OVER,SPREAD BONE T OVER,SPREAD BONE T OVER,TERRY,TERRY,TERRY,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARDER,TWINS OPEN HARDER,TWINS OPEN HARDER,TWINS OPEN SOFT,TWINS OPEN SOFT,TWINS OPEN SOFT,TWINS OPEN SOFTER,TWINS OPEN SOFTER,TWINS OPEN SOFTER,TWINS OPEN SOFTER,TWINS OPEN SOFTER,TWINS TITE SOFTER,TWINS TITE SOFTER,TWINS TITE SOFTER,UNBALANCED SLOT,UNBALANCED SLOT
OFF PLAY,,IZ,JET RD,POWER RD,QB COUNTER,QB POWER,QB THROWBACK,TRAP OPTION,VEGAS,3 ST,IZ,IZ 3,PA 3 ST,S TUNNEL,SPRINT THROWBACK,SPOT SCREEN,SPRINT THROWBACK,BUCK SWEEP,3 ST,3ST,5ST,IZ 3,JET SWEEP,JET SWEEP REVERSE,NO PLAY,PA 5 ST,QB DRAW,QB POWER,RB SCREEN,RB SCREEN STR,SPRINT,X TUNNEL,3 ST,3ST,5 ST,5ST,CTR,CTR RD,INF TRAP,JET SWEEP,NO PLAY,POWER,POWER RD,QB DRAW,QB LONG TRAP,QB POWER,QB POWER RPO,RB SCREEN WK,SPRINT,SPRINT DRAW,T WRAP,3 ST,5 ST,IZ RD,JET RD,POWER RD,SPRINT,FLEA FLICKER,G POWER,OZ,PA POWER,POWER,WING CTR,NO PLAY,QB BUCK SWEEP,WING CTR,5ST,BUCK SWEEP,JET SWEEP,PA POWER,POWER,POWER BOOT,POWER RD,PULL BOOT,QB DBL POWER,QB POWER,QB T WRAP,SPLIT IZ,SPLIT ZONE,SPRINT,PA POWER,POWER,POWER 3,5 ST,JET RD,NAKED BOOT,POWER RD,VEGAS,BUCK SWEEP,BUCK SWEEP BOOT,PA POWER,BUCK SWEEP BOOT,TRAP
DN,DIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,7.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,8.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,10.0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,6,8,2,0,1,1,1,0,0,0,0,0,1,0,2,1,2,0,0,2,1,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,0,1,2,10,0,2,2,4,0,0,0,0,6,0,4,10,2,4,0,0,0,2,2,1,0,8,0,2,0,0,0,0,0,0,0,2,2,0
2.0,1.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
