OFF FORM,OFF PLAY,No,Yes
ACES,IZ,2,0
JOKER,JET RD,5,3
JOKER,POWER RD,1,1
JOKER,QB COUNTER,2,0
JOKER,QB POWER,0,4
JOKER,QB THROWBACK,2,0
JOKER,TRAP OPTION,0,1
JOKER,VEGAS,4,3
KINGS OPEN,3 ST,1,1
KINGS OPEN,IZ,1,0
KINGS OPEN,IZ 3,1,1
KINGS OPEN,PA 3 ST,1,0
KINGS OPEN,S TUNNEL,1,0
KINGS OPEN,SPRINT THROWBACK,1,0
MICKEY MOUSE,SPOT SCREEN,1,0
PRO SOFTER T OVER,SPRINT THROWBACK,2,0
PRO WING,BUCK SWEEP,4,0
QUADS,2.0,1,0
QUADS,3 ST,1,0
QUADS,3ST,10,2
QUADS,5ST,28,10
QUADS,IZ 3,2,0
QUADS,JET SWEEP,1,0
QUADS,JET SWEEP REVERSE,1,0
QUADS,NO PLAY,4,2
QUADS,PA 5 ST,1,0
QUADS,QB DRAW,2,0
QUADS,QB POWER,4,2
QUADS,RB SCREEN,2,0
QUADS,RB SCREEN STR,2,0
QUADS,SPRINT,0,1
QUADS,X TUNNEL,1,0
QUEENS OPEN,3 ST,1,0
QUEENS OPEN,3ST,6,4
QUEENS OPEN,5 ST,2,0
QUEENS OPEN,5ST,6,0
QUEENS OPEN,CTR,0,2
QUEENS OPEN,CTR RD,2,0
QUEENS OPEN,INF TRAP,2,0
QUEENS OPEN,JET SWEEP,1,0
QUEENS OPEN,NO PLAY,2,2
QUEENS OPEN,POWER,2,0
QUEENS OPEN,POWER RD,1,1
QUEENS OPEN,QB DRAW,2,0
QUEENS OPEN,QB LONG TRAP,2,0
QUEENS OPEN,QB POWER,8,10
QUEENS OPEN,QB POWER RPO,0,2
QUEENS OPEN,RB SCREEN WK,4,0
QUEENS OPEN,SPRINT,4,0
QUEENS OPEN,SPRINT DRAW,1,2
QUEENS OPEN,T WRAP,2,0
SPREAD,2.0,1,0
SPREAD,3 ST,2,2
SPREAD,5 ST,1,0
SPREAD,IZ RD,1,0
SPREAD,JET RD,1,0
SPREAD,POWER RD,0,1
SPREAD,SPRINT,1,0
SPREAD BONE T OVER,FLEA FLICKER,0,2
SPREAD BONE T OVER,G POWER,8,8
SPREAD BONE T OVER,NO PLAY,0,2
SPREAD BONE T OVER,OZ,2,0
SPREAD BONE T OVER,PA POWER,0,2
SPREAD BONE T OVER,POWER,4,0
SPREAD BONE T OVER,WING CTR,2,4
TERRY,NO PLAY,1,0
TERRY,QB BUCK SWEEP,3,0
TERRY,WING CTR,0,2
TWINS OPEN HARD,5ST,4,6
TWINS OPEN HARD,BUCK SWEEP,2,4
TWINS OPEN HARD,JET SWEEP,2,0
TWINS OPEN HARD,PA POWER,6,2
TWINS OPEN HARD,POWER,4,6
TWINS OPEN HARD,POWER BOOT,5,0
TWINS OPEN HARD,POWER RD,4,0
TWINS OPEN HARD,PULL BOOT,1,0
TWINS OPEN HARD,QB DBL POWER,0,5
TWINS OPEN HARD,QB POWER,0,1
TWINS OPEN HARD,QB T WRAP,4,2
TWINS OPEN HARDER,SPLIT IZ,2,1
TWINS OPEN HARDER,SPLIT ZONE,1,0
TWINS OPEN HARDER,SPRINT,5,0
TWINS OPEN SOFT,PA POWER,6,4
TWINS OPEN SOFT,POWER,2,0
TWINS OPEN SOFT,POWER 3,2,0
TWINS OPEN SOFTER,5 ST,2,0
TWINS OPEN SOFTER,JET RD,0,1
TWINS OPEN SOFTER,NAKED BOOT,1,0
TWINS OPEN SOFTER,POWER RD,0,1
TWINS OPEN SOFTER,VEGAS,0,1
TWINS TITE SOFTER,BUCK SWEEP,2,0
TWINS TITE SOFTER,BUCK SWEEP BOOT,0,2
TWINS TITE SOFTER,PA POWER,0,2
UNBALANCED SLOT,BUCK SWEEP BOOT,2,0
UNBALANCED SLOT,TRAP,0,2
