OFF FORM,,,JOKER,PRO SOFTER T OVER,QUADS,QUADS,QUEENS OPEN,QUEENS OPEN,QUEENS OPEN,SPREAD BONE T OVER,SPREAD BONE T OVER,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARD,TWINS OPEN HARDER,TWINS OPEN SOFT,TWINS TITE SOFTER,TWINS TITE SOFTER,UNBALANCED SLOT
OFF PLAY,,,QB THROWBACK,SPRINT THROWBACK,3ST,5ST,3ST,5ST,SPRINT,FLEA FLICKER,PA POWER,5ST,PA POWER,POWER BOOT,SPRINT,PA POWER,BUCK SWEEP BOOT,PA POWER,BUCK SWEEP BOOT
FZ,DN,DIST,,,,,,,,,,,,,,,,,
BU,1.0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,4.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,4.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,1.0,10.0,0,0,1,2,1,1,0,1,1,0,1,0,0,2,0,0,1
CO,2.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,2.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,2.0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,2.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CO,2.0,14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CO,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,3.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
CO,3.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,3.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,3.0,9.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CO,3.0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CO,3.0,11.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CO,3.0,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CO,4.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,4.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GI,1.0,10.0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
GI,2.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GI,2.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GI,2.0,14.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GI,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GI,3.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GI,3.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GI,3.0,8.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GI,4.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GI,4.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,3.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRZ,1.0,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
HRZ,2.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HRZ,3.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HRZ,3.0,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRZ,2.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PI,3.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PI,3.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PI,3.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
