Down/Dist Scenarios,,0,0,0,0,0,0,0,0,2nd Down Conversion,2nd Down Conversion,3rd Down Conversion,4th and Long Conversion,4th and Short Conversion
Game Changing Scenarios,,0,0,0,0,0,0,Run/Pass > 30 yds,Run/Pass > 30 yds,0,0,0,0,0
Run/Pass Scenarios,,0,Pass Complete,Run < 0 yds,Run < 10 yds,Run < 5 yds,Run for 1st Down,Run < 10 yds,Run for 1st Down,0,Run for 1st Down,Run for 1st Down,Run for 1st Down,Run for 1st Down
OFF FORM,OFF PLAY,,,,,,,,,,,,,
ACES,IZ,0,0,0,0,1,0,0,0,0,0,1,0,0
JOKER,JET RD,2,0,2,0,3,0,0,0,1,0,0,0,0
JOKER,POWER RD,0,0,0,0,1,0,0,0,1,0,0,0,0
JOKER,QB COUNTER,0,0,0,0,2,0,0,0,0,0,0,0,0
JOKER,QB POWER,2,0,0,0,2,0,0,0,0,0,0,0,0
JOKER,QB THROWBACK,0,0,0,0,2,0,0,0,0,0,0,0,0
JOKER,TRAP OPTION,0,0,0,0,1,0,0,0,0,0,0,0,0
JOKER,VEGAS,0,0,0,2,5,0,0,0,0,0,0,0,0
KINGS OPEN,3 ST,0,0,0,0,1,0,0,0,0,0,1,0,0
KINGS OPEN,IZ,0,0,0,0,0,0,0,0,0,0,1,0,0
KINGS OPEN,IZ 3,1,0,1,0,0,0,0,0,0,0,0,0,0
KINGS OPEN,PA 3 ST,0,0,1,0,0,0,0,0,0,0,0,0,0
KINGS OPEN,S TUNNEL,0,0,0,0,1,0,0,0,0,0,0,0,0
KINGS OPEN,SPRINT THROWBACK,0,0,0,0,1,0,0,0,0,0,0,0,0
MICKEY MOUSE,SPOT SCREEN,0,0,0,0,1,0,0,0,0,0,0,0,0
PRO SOFTER T OVER,SPRINT THROWBACK,0,0,0,0,2,0,0,0,0,0,0,0,0
PRO WING,BUCK SWEEP,0,0,0,0,4,0,0,0,0,0,0,0,0
QUADS,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0
QUADS,3 ST,0,0,0,0,1,0,0,0,0,0,0,0,0
QUADS,3ST,0,2,2,0,8,0,0,0,0,0,0,0,0
QUADS,5ST,0,2,4,4,26,0,0,0,0,2,0,0,0
QUADS,IZ 3,0,0,0,0,1,0,0,0,0,0,1,0,0
QUADS,JET SWEEP,0,0,1,0,0,0,0,0,0,0,0,0,0
QUADS,JET SWEEP REVERSE,0,0,0,0,0,0,0,0,0,0,1,0,0
QUADS,NO PLAY,0,0,2,0,4,0,0,0,0,0,0,0,0
QUADS,PA 5 ST,0,0,0,0,1,0,0,0,0,0,0,0,0
QUADS,QB DRAW,0,0,0,0,2,0,0,0,0,0,0,0,0
QUADS,QB POWER,2,0,0,2,2,0,0,0,0,0,0,0,0
QUADS,RB SCREEN,0,0,0,0,2,0,0,0,0,0,0,0,0
QUADS,RB SCREEN STR,0,0,2,0,0,0,0,0,0,0,0,0,0
QUADS,SPRINT,0,0,0,1,0,0,0,0,0,0,0,0,0
QUADS,X TUNNEL,0,0,1,0,0,0,0,0,0,0,0,0,0
QUEENS OPEN,3 ST,0,0,0,0,1,0,0,0,0,0,0,0,0
QUEENS OPEN,3ST,0,2,0,0,6,0,0,0,0,0,2,0,0
QUEENS OPEN,5 ST,0,0,0,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,5ST,0,0,2,0,4,0,0,0,0,0,0,0,0
QUEENS OPEN,CTR,0,0,0,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,CTR RD,0,0,0,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,INF TRAP,0,0,0,0,0,0,0,0,0,0,0,0,2
QUEENS OPEN,JET SWEEP,0,0,1,0,0,0,0,0,0,0,0,0,0
QUEENS OPEN,NO PLAY,2,0,0,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,POWER,0,0,2,0,0,0,0,0,0,0,0,0,0
QUEENS OPEN,POWER RD,0,0,0,0,1,0,1,0,0,0,0,0,0
QUEENS OPEN,QB DRAW,0,0,0,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,QB LONG TRAP,0,0,2,0,0,0,0,0,0,0,0,0,0
QUEENS OPEN,QB POWER,2,0,0,2,10,0,0,0,0,2,1,1,0
QUEENS OPEN,QB POWER RPO,0,2,0,0,0,0,0,0,0,0,0,0,0
QUEENS OPEN,RB SCREEN WK,0,0,2,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,SPRINT,0,0,2,0,2,0,0,0,0,0,0,0,0
QUEENS OPEN,SPRINT DRAW,2,0,0,0,1,0,0,0,0,0,0,0,0
QUEENS OPEN,T WRAP,2,0,0,0,0,0,0,0,0,0,0,0,0
SPREAD,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0
SPREAD,3 ST,0,0,1,1,1,1,0,0,0,0,0,0,0
SPREAD,5 ST,0,0,0,0,1,0,0,0,0,0,0,0,0
SPREAD,IZ RD,0,0,0,0,1,0,0,0,0,0,0,0,0
SPREAD,JET RD,0,0,1,0,0,0,0,0,0,0,0,0,0
SPREAD,POWER RD,1,0,0,0,0,0,0,0,0,0,0,0,0
SPREAD,SPRINT,0,0,0,0,0,0,0,0,0,0,0,0,1
SPREAD BONE T OVER,FLEA FLICKER,0,0,0,0,0,0,0,2,0,0,0,0,0
SPREAD BONE T OVER,G POWER,2,0,0,0,4,2,0,0,0,0,8,0,0
SPREAD BONE T OVER,NO PLAY,0,0,0,0,2,0,0,0,0,0,0,0,0
SPREAD BONE T OVER,OZ,0,0,0,0,2,0,0,0,0,0,0,0,0
