PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
12.0,1.0,12.0,-28.0,1.0,10.0,1.010.0,4.0,Pass,PRO HARDER,PA 5 ST,,,PA 5 ST,0,0,Run for 1st Down
14.0,2.0,14.0,-28.0,2.0,10.0,2.010.0,4.0,Run,SPREAD,IZ,PA 5 ST,PA 5 ST,IZ,0,0,Run < 5 yds
16.0,3.0,16.0,-34.0,3.0,4.0,3.04.0,4.0,Run,KINGS OPEN,OZ,IZ,IZ,OZ,0,0,Run < 5 yds
34.0,1.0,34.0,-47.0,1.0,10.0,1.010.0,4.0,Run,QUADS BONE,JET SWEEP,OZ,OZ,JET SWEEP,3rd Down Conversion,0,Run for 1st Down
36.0,2.0,36.0,50.0,2.0,7.0,2.07.0,4.0,Pass,TWINS TITE HARDER,PA 5 ST,JET SWEEP,JET SWEEP,PA 5 ST,0,0,Run < 5 yds
38.0,3.0,38.0,48.0,3.0,5.0,3.05.0,4.0,4.0,QUADS BONE,4.0,PA 5 ST,PA 5 ST,4.0,0,0,Run < 5 yds
40.0,3.0,40.0,-47.0,3.0,10.0,3.010.0,4.0,Run,QUEENS OPEN,QB DRAW,4.0,4.0,QB DRAW,0,0,Run < 5 yds
56.0,1.0,56.0,48.0,1.0,10.0,1.010.0,5.0,Run,JOKER,JET SWEEP,QB DRAW,QB DRAW,JET SWEEP,3rd Down Conversion,0,Run for 1st Down
58.0,2.0,58.0,43.0,2.0,5.0,2.05.0,4.0,Pass,QUADS BONE,PA 3 STEP,JET SWEEP,JET SWEEP,PA 3 STEP,0,0,Run < 5 yds
60.0,3.0,60.0,43.0,3.0,5.0,3.05.0,4.0,Run,TWINS TITE HARDER,JET SWEEP,PA 3 STEP,PA 3 STEP,JET SWEEP,0,0,Run < 5 yds
104.0,1.0,104.0,-9.0,1.0,10.0,1.010.0,4.0,Run,TWINS TITE SOFTER,OZ,JET SWEEP,JET SWEEP,OZ,3rd Down Conversion,0,Run for 1st Down
106.0,2.0,106.0,-10.0,2.0,9.0,2.09.0,4.0,Run,SPREAD,IZ,OZ,OZ,IZ,0,0,Run < 5 yds
108.0,1.0,108.0,-37.0,1.0,10.0,1.010.0,4.0,Pass,QUEENS OPEN,5 ST,IZ,IZ,5 ST,2nd Down Conversion,0,Run for 1st Down
110.0,1.0,110.0,-48.0,1.0,10.0,1.010.0,4.0,Run,KINGS OPEN,OZ,5 ST,5 ST,OZ,0,0,Run for 1st Down
112.0,2.0,112.0,-49.0,2.0,9.0,2.09.0,4.0,Run,TWINS TITE SOFTER,TRIPLE OPTION,OZ,OZ,TRIPLE OPTION,0,0,Run < 5 yds
114.0,3.0,114.0,47.0,3.0,5.0,3.05.0,4.0,Pass,QUADS BONE,PA 5 ST,TRIPLE OPTION,TRIPLE OPTION,PA 5 ST,0,0,Run < 5 yds
126.0,1.0,126.0,46.0,1.0,10.0,1.010.0,4.0,Run,KINGS OPEN,IZ,PA 5 ST,PA 5 ST,IZ,3rd Down Conversion,0,Run for 1st Down
128.0,2.0,128.0,46.0,2.0,2.0,2.02.0,4.0,Pass,SPREAD,PA 5 ST,IZ,IZ,PA 5 ST,0,0,Run < 5 yds
136.0,1.0,136.0,-29.0,1.0,10.0,1.010.0,4.0,Run,PRO SOFTER,JET SWEEP,PA 5 ST,PA 5 ST,JET SWEEP,2nd Down Conversion,0,Run for 1st Down
138.0,2.0,138.0,-35.0,2.0,4.0,2.04.0,4.0,Run,KINGS OPEN,ZONE READ,JET SWEEP,JET SWEEP,ZONE READ,0,0,Run < 5 yds
140.0,3.0,140.0,-35.0,3.0,4.0,3.04.0,4.0,Run,SPREAD BONE,JET SWEEP,ZONE READ,ZONE READ,JET SWEEP,0,0,Run < 5 yds
