PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,EFFECTIVE
2,1.0,2,-29.0,1.0,10.0,1.010.0,4.0,Run,TWINS OPEN HARD,POWER,Yes
3,2.0,3,-33.0,2.0,7.0,2.07.0,0.0,Pass,TWINS OPEN SOFT,PA POWER,No
4,3.0,4,-33.0,3.0,7.0,3.07.0,-10.0,Pass,QUEENS OPEN,RB SCREEN WK,No
5,3.0,5,-23.0,3.0,17.0,3.017.0,2.0,Run,QUEENS OPEN,QB POWER,No
7,1.0,7,38.0,1.0,10.0,1.010.0,0.0,Run,SPREAD BONE T OVER,POWER,No
8,2.0,8,38.0,2.0,10.0,2.010.0,2.0,Run,PRO WING,BUCK SWEEP,No
9,3.0,9,36.0,3.0,8.0,3.08.0,5.0,Pass,QUADS,3ST,Yes
10,4.0,10,31.0,4.0,2.0,4.02.0,2.0,Run,QUEENS OPEN,QB POWER,Yes
11,1.0,11,25.0,1.0,10.0,1.010.0,1.0,Run,QUEENS OPEN,INF TRAP,No
12,2.0,12,24.0,2.0,9.0,2.09.0,0.0,Pass,TWINS OPEN HARD,PA POWER,No
13,3.0,13,24.0,3.0,9.0,3.09.0,3.0,Run,JOKER,VEGAS,No
14,4.0,14,21.0,4.0,5.0,4.05.0,2.0,Pass,QUEENS OPEN,5ST,No
15,4.0,15,26.0,4.0,11.0,4.011.0,2.0,Pass,QUADS,5ST,No
20,1.0,20,-35.0,1.0,10.0,1.010.0,9.0,Run,SPREAD BONE T OVER,WING CTR,Yes
21,2.0,21,-44.0,2.0,1.0,2.01.0,3.0,Run,QUEENS OPEN,CTR,Yes
22,1.0,22,-47.0,1.0,10.0,1.010.0,-2.0,Run,TWINS OPEN HARD,POWER RD,No
23,2.0,23,-45.0,2.0,12.0,2.012.0,5.0,Run,QUEENS OPEN,T WRAP,No
24,3.0,24,50.0,3.0,7.0,3.07.0,2.0,Pass,QUEENS OPEN,3ST,No
27,1.0,27,34.0,1.0,10.0,1.010.0,20.0,Pass,TWINS OPEN SOFT,PA POWER,Yes
28,1.0,28,14.0,1.0,10.0,1.010.0,8.0,Run,TWINS OPEN HARD,POWER,Yes
29,2.0,29,6.0,2.0,2.0,2.02.0,5.0,Run,SPREAD BONE T OVER,G POWER,Yes
30,1.0,30,1.0,1.0,1.0,1.01.0,-9.0,Run,TERRY,QB BUCK SWEEP,No
31,2.0,31,10.0,2.0,10.0,2.010.0,-4.0,Pass,QUADS,5ST,No
32,3.0,32,14.0,3.0,14.0,3.014.0,2.0,Pass,QUADS,3ST,No
38,1.0,38,-33.0,1.0,10.0,1.010.0,7.0,Run,TWINS OPEN HARD,POWER,Yes
39,2.0,39,-40.0,2.0,2.0,2.02.0,1.0,Run,UNBALANCED SLOT,TRAP,Yes
40,3.0,40,-41.0,3.0,1.0,3.01.0,5.0,Run,QUEENS OPEN,QB POWER,Yes
41,1.0,41,-46.0,1.0,10.0,1.010.0,0.0,Pass,UNBALANCED SLOT,BUCK SWEEP BOOT,No
42,2.0,42,-46.0,2.0,10.0,2.010.0,3.0,Run,JOKER,POWER RD,No
43,3.0,43,-49.0,3.0,7.0,3.07.0,4.0,Pass,QUADS,5ST,Yes
45,1.0,45,-42.0,1.0,10.0,1.010.0,1.0,Run,SPREAD BONE T OVER,G POWER,No
46,2.0,46,-43.0,2.0,9.0,2.09.0,-1.0,Run,QUEENS OPEN,POWER,No
47,3.0,47,-42.0,3.0,10.0,3.010.0,2.0,Pass,TWINS OPEN HARD,5ST,No
68,1.0,68,-30.0,1.0,10.0,1.010.0,-5.0,Pass,TWINS OPEN HARD,PA POWER,No
69,2.0,69,-25.0,2.0,15.0,2.015.0,0.0,Run,SPREAD BONE T OVER,WING CTR,No
70,3.0,70,-25.0,3.0,15.0,3.015.0,2.0,Pass,QUEENS OPEN,RB SCREEN WK,No
76,1.0,76,-18.0,1.0,10.0,1.010.0,-1.0,Run,TWINS OPEN HARD,POWER,No
77,2.0,77,-17.0,2.0,11.0,2.011.0,4.0,Run,QUEENS OPEN,CTR RD,No
78,3.0,78,-21.0,3.0,9.0,3.09.0,2.0,Pass,QUADS,5ST,No
79,,79,2.0,2.0,2.0,nannan,2.0,2.0,QUADS,NO PLAY,Yes
98,1.0,98,-30.0,1.0,10.0,1.010.0,6.0,Run,TWINS OPEN HARD,BUCK SWEEP,Yes
99,2.0,99,-36.0,2.0,4.0,2.04.0,2.0,Run,TWINS OPEN HARD,QB T WRAP,Yes
100,3.0,100,-38.0,3.0,2.0,3.02.0,3.0,Run,JOKER,TRAP OPTION,Yes
101,1.0,101,-41.0,1.0,10.0,1.010.0,0.0,Pass,TWINS OPEN SOFT,PA POWER,No
102,2.0,102,-41.0,2.0,10.0,2.010.0,4.0,Run,PRO WING,BUCK SWEEP,No
103,3.0,103,-45.0,3.0,6.0,3.06.0,2.0,Pass,QUADS,5ST,No
104,4.0,104,-47.0,4.0,4.0,4.04.0,2.0,2.0,QUEENS OPEN,NO PLAY,Yes
115,1.0,115,-32.0,1.0,10.0,1.010.0,20.0,Pass,SPREAD BONE T OVER,PA POWER,Yes
116,1.0,116,48.0,1.0,10.0,1.010.0,14.0,Run,TWINS OPEN HARD,BUCK SWEEP,Yes
117,1.0,117,34.0,1.0,10.0,1.010.0,-5.0,Run,TWINS OPEN HARD,BUCK SWEEP,No
118,2.0,118,39.0,2.0,14.0,2.014.0,0.0,Pass,TWINS OPEN HARD,PA POWER,No
119,3.0,119,39.0,3.0,14.0,3.014.0,13.0,Run,QUEENS OPEN,QB POWER,Yes
120,4.0,120,26.0,4.0,1.0,4.01.0,2.0,Run,TERRY,WING CTR,Yes
121,1.0,121,21.0,1.0,10.0,1.010.0,0.0,Pass,TWINS OPEN SOFT,PA POWER,No
122,2.0,122,21.0,2.0,10.0,2.010.0,13.0,Run,JOKER,VEGAS,Yes
123,1.0,123,8.0,1.0,8.0,1.08.0,7.0,Run,JOKER,POWER RD,Yes
124,2.0,124,1.0,2.0,1.0,2.01.0,0.0,Pass,JOKER,QB THROWBACK,No
125,3.0,125,1.0,3.0,1.0,3.01.0,-5.0,2.0,TERRY,NO PLAY,No
126,3.0,126,6.0,3.0,6.0,3.06.0,3.0,Run,SPREAD BONE T OVER,G POWER,Yes
127,4.0,127,3.0,4.0,3.0,4.03.0,2.0,Run,JOKER,QB POWER,Yes
135,1.0,135,-38.0,1.0,10.0,1.010.0,1.0,Run,TWINS OPEN HARD,POWER RD,No
136,2.0,136,-39.0,2.0,9.0,2.09.0,2.0,Run,TWINS OPEN HARD,QB T WRAP,No
140,1.0,140,-36.0,1.0,10.0,1.010.0,20.0,Pass,TWINS OPEN SOFT,PA POWER,Yes
141,1.0,141,44.0,1.0,10.0,1.010.0,9.0,Run,SPREAD BONE T OVER,G POWER,Yes
142,2.0,142,35.0,2.0,1.0,2.01.0,6.0,Run,JOKER,QB POWER,Yes
143,1.0,143,29.0,1.0,10.0,1.010.0,5.0,Run,SPREAD BONE T OVER,WING CTR,Yes
144,2.0,144,24.0,2.0,4.0,2.04.0,0.0,Run,JOKER,VEGAS,No
145,3.0,145,24.0,3.0,4.0,3.04.0,6.0,Pass,QUEENS OPEN,QB POWER RPO,Yes
146,1.0,146,18.0,1.0,10.0,1.010.0,3.0,Run,SPREAD BONE T OVER,G POWER,No
147,2.0,147,15.0,2.0,5.0,2.05.0,4.0,Run,SPREAD BONE T OVER,G POWER,Yes
148,3.0,148,11.0,3.0,5.0,3.05.0,5.0,Run,QUEENS OPEN,SPRINT DRAW,Yes
149,1.0,149,6.0,1.0,7.0,1.07.0,-5.0,Run,JOKER,JET RD,No
150,2.0,150,11.0,2.0,11.0,2.011.0,5.0,2.0,QUEENS OPEN,NO PLAY,No
151,2.0,151,6.0,2.0,6.0,2.06.0,2.0,Run,QUEENS OPEN,QB POWER,No
152,,152,2.0,2.0,2.0,nannan,2.0,2.0,SPREAD BONE T OVER,NO PLAY,Yes
153,3.0,153,5.0,3.0,5.0,3.05.0,2.0,Pass,PRO SOFTER T OVER,SPRINT THROWBACK,No
167,1.0,167,-20.0,1.0,10.0,1.010.0,-5.0,Pass,QUADS,5ST,No
168,2.0,168,-15.0,2.0,15.0,2.015.0,2.0,Run,QUADS,QB POWER,No
169,3.0,169,-17.0,3.0,13.0,3.013.0,-2.0,Pass,QUADS,RB SCREEN STR,No
170,4.0,170,-18.0,4.0,11.0,4.011.0,2.0,2.0,QUADS,5ST,No
171,4.0,171,-13.0,4.0,16.0,4.016.0,2.0,Pass,QUADS,5ST,No
5,1.0,5,-31.0,1.0,10.0,1.010.0,6.0,Run,QUEENS OPEN,QB POWER,Yes
6,2.0,6,-37.0,2.0,4.0,2.04.0,-2.0,Run,TWINS OPEN HARD,JET SWEEP,No
7,3.0,7,-35.0,3.0,6.0,3.06.0,2.0,Pass,TWINS OPEN HARDER,SPRINT,No
22,1.0,22,-19.0,1.0,10.0,1.010.0,3.0,Run,TWINS OPEN HARD,POWER,No
23,2.0,23,-22.0,2.0,7.0,2.07.0,-3.0,Run,TWINS TITE SOFTER,BUCK SWEEP,No
